,n_samples,integral
0,1.0,0.8158607641671439
1,1001.0,0.6505921363969807
2,2001.0,0.6444203130188192
3,3001.0,0.6382279595105486
4,4001.0,0.6400625470799425
5,5001.0,0.6378080292075318
6,6001.0,0.634822245001504
7,7001.0,0.6322795748448582
8,8001.0,0.6307144799451347
9,9001.0,0.6316180965787885
10,10001.0,0.6320560216424248
11,11001.0,0.6327018232167638
12,12001.0,0.6332916477024098
13,13001.0,0.6333219212447745
14,14001.0,0.6342868926877773
15,15001.0,0.6342516032033978
16,16001.0,0.634553309153136
17,17001.0,0.6341286380583533
18,18001.0,0.6337861663670757
19,19001.0,0.634247787965616
20,20001.0,0.6348070217163821
21,21001.0,0.6347218260313514
22,22001.0,0.633996323066648
23,23001.0,0.6343756113063552
24,24001.0,0.6348745697341638
25,25001.0,0.6349104103585896
26,26001.0,0.6347481505121111
27,27001.0,0.6348501363286524
28,28001.0,0.6352260388946291
29,29001.0,0.6354944209652486
30,30001.0,0.6356978894210269
31,31001.0,0.6349573235121116
32,32001.0,0.6347111251943269
33,33001.0,0.6349487997085701
34,34001.0,0.6349477111019958
35,35001.0,0.6349849572884182
36,36001.0,0.6353899900297615
37,37001.0,0.6357181422963101
38,38001.0,0.6355150595136211
39,39001.0,0.6356787914989781
40,40001.0,0.6360334371632336
41,41001.0,0.6359001761573425
42,42001.0,0.6359234776758034
43,43001.0,0.6360179207432327
44,44001.0,0.6360638836135909
45,45001.0,0.6358878613138249
46,46001.0,0.6359459508724565
47,47001.0,0.6359228457929609
48,48001.0,0.6355939933877239
49,49001.0,0.6357165492796616
50,50001.0,0.635929988195986
51,51001.0,0.6360513111989833
52,52001.0,0.6360798498631471
53,53001.0,0.6359909335504719
54,54001.0,0.6360720551142591
55,55001.0,0.6361532810015712
56,56001.0,0.636095619338716
57,57001.0,0.6362698763715399
58,58001.0,0.6363567130677579
59,59001.0,0.6365059793773313
60,60001.0,0.6364658990576408
61,61001.0,0.6364001993347287
62,62001.0,0.636391194710928
63,63001.0,0.6366580912835982
64,64001.0,0.6365837450391697
65,65001.0,0.636468596920987
66,66001.0,0.6366510900060496
67,67001.0,0.6363821773454856
68,68001.0,0.6364197692911808
69,69001.0,0.6363655157569491
70,70001.0,0.6364765367569106
71,71001.0,0.6366963107390333
72,72001.0,0.6365243283379285
73,73001.0,0.6366761123635688
74,74001.0,0.6367673826129603
75,75001.0,0.6368140775555817
76,76001.0,0.6367359607080729
77,77001.0,0.6366443195529699
78,78001.0,0.6365386687174942
79,79001.0,0.6365718918283939
80,80001.0,0.6367761984266505
81,81001.0,0.6366346461891121
82,82001.0,0.6367433205286668
83,83001.0,0.6368450543216555
84,84001.0,0.6369717632035393
85,85001.0,0.6369736668403144
86,86001.0,0.636907659135955
87,87001.0,0.6368779071070534
88,88001.0,0.6368300942011343
89,89001.0,0.636711277767808
90,90001.0,0.636602248800485
91,91001.0,0.6365257595245827
92,92001.0,0.6365530668368075
93,93001.0,0.636583047435076
94,94001.0,0.6364685890088285
95,95001.0,0.6363658208366347
96,96001.0,0.6363285443055785
97,97001.0,0.6365504093476687
98,98001.0,0.6364687622561247
99,99001.0,0.6364196258014616
100,100001.0,0.6364306603764924
101,101001.0,0.6364365659477634
102,102001.0,0.6364201798047987
103,103001.0,0.6364379480891745
104,104001.0,0.636623091826545
105,105001.0,0.6366280373412421
106,106001.0,0.6366894226092811
107,107001.0,0.6368455180539307
108,108001.0,0.6368069938294473
109,109001.0,0.6366828147903527
110,110001.0,0.6366508035147939
111,111001.0,0.6366790078251336
112,112001.0,0.636550825603356
113,113001.0,0.6365582122399257
114,114001.0,0.6364404246913213
115,115001.0,0.6363274098434658
116,116001.0,0.6362747781060298
117,117001.0,0.6363130692153809
118,118001.0,0.636433004849751
119,119001.0,0.6364837263126772
120,120001.0,0.6365502574310887
121,121001.0,0.6365910173668419
122,122001.0,0.6367157015158812
123,123001.0,0.6367630193615456
124,124001.0,0.6369502754181492
125,125001.0,0.6368584347093984
126,126001.0,0.6368215961357806
127,127001.0,0.6368442680311711
128,128001.0,0.6369130133008086
129,129001.0,0.6368076275118569
130,130001.0,0.6367084915070721
131,131001.0,0.6365606180162288
132,132001.0,0.6365050113803074
133,133001.0,0.6364956528803186
134,134001.0,0.63643514623124
135,135001.0,0.6364480882457548
136,136001.0,0.6364660972534022
137,137001.0,0.6363439908540464
138,138001.0,0.6362393359905937
139,139001.0,0.6360707639544052
140,140001.0,0.6360790223678205
141,141001.0,0.6360604806119149
142,142001.0,0.6361090289070088
143,143001.0,0.6360702437894881
144,144001.0,0.6361082657008591
145,145001.0,0.6360536023629456
146,146001.0,0.6360207878566992
147,147001.0,0.6359105912494865
148,148001.0,0.6359870088792414
149,149001.0,0.6359897057640247
150,150001.0,0.635996607271276
151,151001.0,0.6358943842473145
152,152001.0,0.6360087790481397
153,153001.0,0.6360547614692577
154,154001.0,0.6360841049799812
155,155001.0,0.6360816961104219
156,156001.0,0.6361619760328506
157,157001.0,0.6361565861803167
158,158001.0,0.6361694602764507
159,159001.0,0.6361681936493885
160,160001.0,0.6361646413265784
161,161001.0,0.6361324931930189
162,162001.0,0.6361303679845292
163,163001.0,0.6361205823081599
164,164001.0,0.636133774630247
165,165001.0,0.6360791454276414
166,166001.0,0.6360019749573126
167,167001.0,0.6360439002354373
168,168001.0,0.6360209283647018
169,169001.0,0.6361313706568444
170,170001.0,0.6362210296014847
171,171001.0,0.6362116597404823
172,172001.0,0.6362185444758682
173,173001.0,0.6362099314095326
174,174001.0,0.636229980068038
