n_samples,integral
9300,0.8950936558181795
46900,0.6369308273095149
70100,0.6307332372366586
98675,0.6304729084955175
135200,0.6309984539116751


9300,0.8950936558181773
48200,0.6369308273095149
67700,0.6298360932680278
81150,0.6307669874220916
87625,0.6300451561068787

9300,0.8950936558181773
48200,0.6369308273095149
76475,0.6304630527375259
93850,0.6305199711386906
94450,0.6305106816959578

31325,0.6369308273095149
126675,0.6304722173414702
145625,1.8050915254649664
146125,0.6305475493053788
153650,0.6257724942903966

31325,0.6369308273095149
88675,0.6294322946905655
104400,0.6303516425560589
140325,2.1406979877292787
142275,1.0131821078050598
149175,0.6305029960148378

32075,0.6369308273095149
102475,0.6300643742001978
145675,0.6296418547252003
191725,0.0035449213731479348
242850,0.63047110995534
220050,0.0004035774331799801

36600,0.6369308273095149
76925,0.6312323651848771
110400,0.6299279906056587
156925,-11.66348256799231
201425,0.6404457890363859
226475,-1.1931648444807488

9300,0.8950936558181773
36600,0.6369308273095149
75325,0.6206655828881885
109375,0.6304202232975868
132925,0.7647553860973972
148775,0.5097126632372392

12400,0.8950936558181793
48800,0.6369308273095149
96925,0.6339929114686217
123650,0.6304039363252675
154025,0.6306986951580443


6200,0.895093655818178
24400,0.6370589424967532
46750,0.629801412161079
61975,0.6304025576695425
76425,-0.7895340200919262

6200,0.895093655818178
19575,0.6371658584278911
37600,0.6298503003221488
44875,0.6304930610971385
60700,-7.407900415170068

9300,0.8950936558181773
31325,0.6369308273095149
57300,0.6305782641021556
78525,0.6302976738093938
81575,0.630398627306272
94725,0.630997526416811

9300,0.8950936558181773
36600,0.6369308273095149
64775,0.6294335125447689
80525,0.6304322546653156
97425,0.6304499750567851
107225,0.6304708382435144
