n_samples,integral
25,0.5797266049993774
75,0.5741471345011138
125,0.5724514430116145
175,0.5766157289432707
225,0.574430414298573
275,0.571779111347828
325,0.5700702187942872
375,0.5712938743362627
425,0.5718068573504675
475,0.5719539875105162
525,0.5719577334882011
575,0.5720276545784995
625,0.5720487917585909
675,0.572059092194616
725,0.5720658423296736
775,0.5720676329715034
825,0.5720686272880988
875,0.5720686294330123
925,0.5720684151095289
975,0.5720684170893281
1025,0.572068499634187
1075,0.572068519059276
1125,0.5720685253223012
1175,0.5720685223118079
1225,0.5720685210064761
1275,0.5720685189868343
1325,0.5720685189904797
1375,0.5720685189922955
1425,0.5720685189932706
1475,0.5720685189938519
1525,0.5720685190301392
1575,0.5720685190302223
1625,0.5720685190387969
1675,0.5720685190255692
1725,0.5720685190292516
1775,0.5720685190309368
1825,0.5720685190319535
1875,0.5720685190321767
1925,0.5720685190320279
1975,0.5720685190321178
2025,0.5720685190320998
2075,0.5720685190304686
2125,0.5720685190304864
2175,0.5720685190043279
2225,0.5720685194562953
2275,0.5720685193507818
2325,0.5720685193543985
2375,0.5720685219225131
2425,0.572068542233497
2475,0.5720677631647821
2525,0.5720690460723743
2575,0.5720690385555152
2625,0.5721178131653198
2675,0.5720243304264186
2725,0.5719153831609147
2775,0.5716445318053636
2825,0.5711312572951694
2875,0.5522674489343212
2925,0.5734260107940538
2975,0.5968265632042938
3025,0.6001066256098667
3075,0.6284164537294006
3125,0.6300916384973234
3275,0.6238391539547647
3425,0.6277555447862436
3575,0.6298779324598952
3725,0.6297588395116835
3875,0.6296879967841238
4025,0.6291541679608144
4175,0.629607944801545
4325,0.6297669454812264
4475,0.629868980961982
4625,0.6298457887428124
4775,0.6298395086003304
4925,0.62984203081997
5075,0.6298417134549925
5225,0.6298419458289489
5375,0.6298412078246606
5525,0.6298412089604494
5675,0.6298412815067246
5825,0.629841240058339
5975,0.6298412440275983
6125,0.6298381852353861
6275,0.6298381913406526
6425,0.6298381963593019
6575,0.6298386587981604
6725,0.6298388229110737
6875,0.6298388571964841
7025,0.6298388572215229
7175,0.6298388472471024
7325,0.6298388411767556
7475,0.6298388393864325
7625,0.6298378776032632
7775,0.6298374131213192
7925,0.6298366842520395
8075,0.6298345325288025
8225,0.6298345338196729
8375,0.6298287147878335
8525,0.6298309221700651
8675,0.6298314686663449
8825,0.629832739802219
8975,0.6298313214549766
9125,0.6298313214427331
9275,0.6298328214248718
9425,0.6298332043422624
9575,0.6298339184380923
9725,0.6298360062897865
9875,0.6298360068703823
10025,0.629835197501383
10175,0.6298416869128141
10325,0.6298382945381178
10475,0.6298444174495639
10625,0.6298559563876337
10775,0.62985308063689
10925,0.6298487396694267
11075,0.6298491814988064
11225,0.6298582997822204
11375,0.6298343988572934
11525,0.6298605354472625
11675,0.6298526418410412
11825,0.6297683717824261
11975,0.629668930225076
12125,0.6294883106379654
12200,0.6294077181705732
12275,0.6299694975149035
12575,0.6299744282467598
12875,0.6301397201008302
13175,0.6301676330493885
13475,0.6301736287770008
13775,0.6301586313987781
14075,0.6301803035107689
14375,0.6301765437004635
14675,0.6301783382024021
14975,0.6301829596556425
15275,0.6301850629909547
15575,0.6301779219848836
15875,0.6301723964540253
16175,0.6301739922194344
16475,0.6301684838817923
16775,0.6301688875821965
17075,0.6301688917283553
17375,0.6301689412812476
17675,0.630168768463309
17975,0.6301613665541755
18275,0.6301668859923932
18575,0.6301700188015678
18875,0.6301689720805707
19175,0.6301673760760953
19475,0.6301672715221787
19775,0.6301673094381555
20075,0.6301685163932818
20375,0.6301692347137332
20675,0.6301707638995233
20975,0.630172087454621
21275,0.6301720936021298
21575,0.6301740166006903
21875,0.6301740107028352
22175,0.6301740134685302
22475,0.6301740139475153
22775,0.6301740141000742
23075,0.6301740141544334
23375,0.6301740141482008
23675,0.630174014163529
23975,0.6301740141516617
24275,0.6301740141698473
24575,0.630174014179808
24875,0.6301763906839765
25175,0.6301763891335086
25475,0.6301763897449222
25775,0.630176389786509
26075,0.6301773216020256
26375,0.6301773195169892
26675,0.6301772870768889
26975,0.6301772979628643
27275,0.6301773027390672
27575,0.6302386329957929
27875,0.6302389278521515
28175,0.6302397990196662
28475,0.6302430543777374
28775,0.6302440472822831
29075,0.6302549528845913
29375,0.6303264288861549
29675,0.630516467069071
29975,0.6309528813864843
30275,0.6310486146013204
30375,0.6303216530163287
30475,0.6303390254226161
30975,0.6305546910703708
31475,0.6304274832067333
31975,0.6304492936092916
32475,0.6304660400221754
32975,0.6304790389962204
33475,0.630477121076344
33975,0.6304769215363688
34475,0.630477072645257
34975,0.6304771616332759
35475,0.6304771321339766
35975,0.630477146854529
36475,0.6304771427184295
36975,0.6304761563618597
37475,0.630456401119013
37975,0.6304657294637148
38475,0.6304708062502535
38975,0.630462535752788
39475,0.6304715467299544
39975,0.6304560242728804
40475,0.630487087284893
40975,0.6304668123752102
41475,0.6304753235336908
41975,0.6305046273185876
42475,0.6304480934621174
42975,0.6304870605877428
43475,0.6304580133507671
43975,0.6304767651215303
44475,0.6304559863820677
44975,0.6304580133507671
45475,0.6304658728573308
45975,0.6304757308526089
46475,0.6304658728573308
46975,0.6304655641549979
47475,0.6304570957604472
47975,0.6304851829525332
48475,0.6304570957604472
48975,0.6304382763193932
49475,0.6304854180437741
49975,0.6304855022516301
50475,0.6304475485478452
50975,0.6305046273185876
51475,0.6304942698465144
51975,0.6304568098035627
52475,0.6304949923382025
52975,0.6304762067611331
53475,0.6304559781635515
53975,0.630484817975389
54475,0.6304660671149838
54975,0.6304963763227661
55475,0.6305059307095695
55975,0.630504824295953
56475,0.6304663460642913
56975,0.630455724047567
57475,0.6304762067611331
57975,0.6304475668586218
58475,0.6304383617648505
58975,0.6304575774985998
59475,0.6304764641345505
59975,0.6304655354713523
60475,0.6304949730821948
60600,0.6304759013590324
60725,0.6304759013590324
61350,0.6304946312943728
62100,0.6304471740915771
62850,0.6304461078240876
63600,0.6304559752777666
64350,0.630484915625025
65100,0.630484915625025
65850,0.6304286332715531
66600,0.6304654480312517
67350,0.6304567412839526
68100,0.6304750499875719
68850,0.630419115129658
69600,0.6304656085928523
70350,0.6304567412839526
71100,0.6304556490049202
71850,0.6304868206029207
72600,0.6304581034133091
73350,0.6304478484287616
74100,0.6304879536484358
74850,0.6304775554452794
75600,0.6304662653276893
76350,0.6304947544471983
77100,0.6305042940186862
77850,0.6304376590033518
78600,0.6304368302721064
79350,0.6304766602363956
80100,0.6304656085928523
80850,0.6304843194897558
81600,0.6304868206029207
82350,0.6304569801928825
83100,0.6304650037953943
83850,0.6304182317048866
84600,0.6304561955015837
85350,0.6304868322406493
86100,0.6304474475347142
86850,0.6304671302387747
87600,0.6304761453937527
88350,0.6304561955015837
89100,0.6304577494819775
89850,0.630456189929866
90600,0.6304365295875555
91350,0.6304394673941539
92100,0.6304176128851601
92850,0.630466560573419
93600,0.630445191962702
94350,0.6304454503371829
95100,0.6304188729896902
95850,0.6304859578228734
96600,0.6304860322576286
97350,0.6304860302734362
98100,0.6304860235415835
