!valid6,n_samples,integral
0, 80136,0.6543443835285222
1, 145908,0.63395894003796860
2, 199080,0.6311880542555097
3, 237780,0.630650231178722
4, 252900,0.605989370469798
5, 286740,0.6304631882694026
