,n_samples,integral
0,1.0,0.4253295186449136
1,1001.0,0.6217027485324232
2,2001.0,0.6279961120040014
3,3001.0,0.6276494345805632
4,4001.0,0.6294696982544461
5,5001.0,0.6289257559976934
6,6001.0,0.6296958056223109
7,7001.0,0.6288656335463515
8,8001.0,0.6295186371601286
9,9001.0,0.6303930568598057
10,10001.0,0.630871111282521
11,11001.0,0.6297276357906526
12,12001.0,0.6302214248347656
13,13001.0,0.6316170241810382
14,14001.0,0.6317207931111215
15,15001.0,0.6322805466470501
16,16001.0,0.6315757357181824
17,17001.0,0.6309348935423739
18,18001.0,0.6311993783314016
19,19001.0,0.6321331981049019
20,20001.0,0.6312286901953117
21,21001.0,0.6307593339409627
22,22001.0,0.6307324097107391
23,23001.0,0.6310738590382907
24,24001.0,0.6308160069119111
25,25001.0,0.6307960867545155
26,26001.0,0.6312901909583761
27,27001.0,0.6313117289698585
28,28001.0,0.6311266194777639
29,29001.0,0.6308676041082285
30,30001.0,0.6310398660895347
31,31001.0,0.6312640547631216
32,32001.0,0.6311176780654513
33,33001.0,0.6310546363586595
34,34001.0,0.6315975283969044
35,35001.0,0.631524158218095
36,36001.0,0.6314788311461532
37,37001.0,0.6314812804475839
38,38001.0,0.6313825878393526
39,39001.0,0.6314528920399392
40,40001.0,0.6312696478790757
41,41001.0,0.630845584512536
42,42001.0,0.6309198507295838
43,43001.0,0.6309204330780503
44,44001.0,0.6309519982571585
45,45001.0,0.6305752558136741
46,46001.0,0.630841695660791
47,47001.0,0.6306275827338552
48,48001.0,0.6306607430495326
49,49001.0,0.6306508650701474
50,50001.0,0.6305174993005922
51,51001.0,0.630332048262754
52,52001.0,0.6305423824735154
53,53001.0,0.6307084417014283
54,54001.0,0.6307103786060994
55,55001.0,0.6304540416332916
56,56001.0,0.6304870065623421
57,57001.0,0.6306575972528008
58,58001.0,0.6307506069132425
59,59001.0,0.6307261130327814
60,60001.0,0.6308254011762815
61,61001.0,0.6308789877874585
62,62001.0,0.6310080936261716
63,63001.0,0.6311503454443758
64,64001.0,0.6310448300699225
65,65001.0,0.6310134897524254
66,66001.0,0.6310788337956843
67,67001.0,0.6308702808612123
68,68001.0,0.6309411245314454
69,69001.0,0.6308314057228378
70,70001.0,0.6308837119978723
71,71001.0,0.6309118662568843
72,72001.0,0.6307365928269528
73,73001.0,0.6306960841674311
74,74001.0,0.6308827657965017
75,75001.0,0.6308048074924155
76,76001.0,0.6307371059484446
77,77001.0,0.6305238534914994
78,78001.0,0.6307779298364186
79,79001.0,0.6308236080022956
80,80001.0,0.6310443001773056
81,81001.0,0.631024300258605
82,82001.0,0.6312883209634674
83,83001.0,0.631354218634233
84,84001.0,0.6314182689204191
85,85001.0,0.6313890672522104
86,86001.0,0.6311485143700941
87,87001.0,0.6311475634704119
88,88001.0,0.6310420099289112
89,89001.0,0.6309742027674234
90,90001.0,0.6308469570168623
91,91001.0,0.6309195517738754
92,92001.0,0.6307831045825458
93,93001.0,0.6308577334472091
94,94001.0,0.6307337329810591
95,95001.0,0.6304861902660486
96,96001.0,0.6305447713932875
97,97001.0,0.6304364181624162
98,98001.0,0.6303527089524897
99,99001.0,0.6304129834794487
100,100001.0,0.6305186669162324
101,101001.0,0.6304548324271587
102,102001.0,0.6305146034083929
103,103001.0,0.6306169939524969
104,104001.0,0.6304541400358504
105,105001.0,0.6302711207549935
106,106001.0,0.630144582145965
107,107001.0,0.6302336465949085
108,108001.0,0.6301352121286822
109,109001.0,0.6302310843789377
110,110001.0,0.6304061789519406
111,111001.0,0.6304221495282213
112,112001.0,0.6303348658849427
113,113001.0,0.6303340893385176
114,114001.0,0.6304036152715653
115,115001.0,0.6305195503964527
116,116001.0,0.6304007984917339
117,117001.0,0.6304460053219658
118,118001.0,0.6303662321129476
119,119001.0,0.6304579655760851
120,120001.0,0.6303543986302464
121,121001.0,0.6303382459793724
122,122001.0,0.6304313914394536
123,123001.0,0.6303096905943661
124,124001.0,0.6302815514385434
125,125001.0,0.6302094812974616
126,126001.0,0.6303556555375541
127,127001.0,0.6304159787100767
128,128001.0,0.6305892430153278
129,129001.0,0.6306365542337881
130,130001.0,0.6308505658558166
131,131001.0,0.630811984574647
132,132001.0,0.6307441620029589
133,133001.0,0.6306325684353352
134,134001.0,0.6307318308356697
135,135001.0,0.6307629377806201
136,136001.0,0.6307894472849294
137,137001.0,0.6307618717333399
138,138001.0,0.6306484952890246
139,139001.0,0.6306277964274263
140,140001.0,0.6306760806345132
141,141001.0,0.630632432683796
142,142001.0,0.6306434985022522
143,143001.0,0.6305735157887344
144,144001.0,0.6304755541713307
145,145001.0,0.6305682902111291
146,146001.0,0.6304768117405034
147,147001.0,0.6304876627769918
148,148001.0,0.6305496289865324
149,149001.0,0.6306192471219376
150,150001.0,0.6306283576124618
151,151001.0,0.6306510314392447
152,152001.0,0.630638320945887
153,153001.0,0.6306233990053209
154,154001.0,0.6305852509778213
155,155001.0,0.630645711196413
156,156001.0,0.6306441304126449
157,157001.0,0.6306639398446132
158,158001.0,0.6306209007657104
159,159001.0,0.6305592588569041
160,160001.0,0.6305585821790561
161,161001.0,0.630565165889227
162,162001.0,0.6305857612835918
163,163001.0,0.6306470599852113
164,164001.0,0.6306437856314304
165,165001.0,0.6306854938438051
166,166001.0,0.6306870559434666
167,167001.0,0.630651335272457
168,168001.0,0.630705609093645
169,169001.0,0.6307322079353455
170,170001.0,0.6307541598322989
171,171001.0,0.6307718674898203
172,172001.0,0.6307944271857389
173,173001.0,0.6308811000253725
174,174001.0,0.6308476378145584
